objectid,parentid,title,interviewee,bio,interviewer,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,pdf
cnieto-1,,"Nieto, Consuelo (audio interview #1 of 1) [tape one, side one]",Consuelo Nieto,"Consuelo Nieto was a professor in the College of Education at CSULB and was involved in a variety of Chicana feminist organizations and activities. She was one of the founders of the Democratic Women's Forum of Orange County and served as a California delegate to the 1977 IWY Conference in Houston, Texas. <br><br>Although she was raised in a traditional Mexican household, her parents nevertheless encouraged all their children to seek an education. She entered the convent at age sixteen and became a public school teacher in ELA after she left several years later.  During this period, in the 1960s, she became involved in the Chicano movement. This  also marked the beginning of  her very active and long-term involvement in the National Education Association, and later in the faculty union at CSULB.  While teaching at CSULB, she returned to get her doctorate at Claremont Graduate School. <br><br>Nieto remained active in NEA and Democratic party politics throughout her career, advocating both for women, in general, and Chicanos/as.  <br><br>NOTE: See also the interview with Nieto conducted at the Houston IWY conference.",Julie Bartolotto,,5/8/1995,,"Consuelo Nieto was a professor in the College of Education at CSULB and was involved in a variety of Chicana feminist organizations and activities. She was one of the founders of the Democratic Women's Forum of Orange County and served as a California delegate to the 1977 IWY Conference in Houston, Texas. Although she was raised in a traditional Mexican household, her parents nevertheless encouraged all their children to seek an education. She entered the convent at age sixteen and became a public school teacher in ELA after she left several years later. During this period, in the 1960s, she became involved in the Chicano movement. This also marked the beginning of her very active and long-term involvement in the National Education Association, and later in the faculty union at CSULB. While teaching at CSULB, she returned to get her doctorate at Claremont Graduate School. Nieto remained active in NEA and Democratic party politics throughout her career, advocating both for women, in general, and Chicanos/as. NOTE: See also the interview with Nieto conducted at the Houston IWY conference.",Chicana studies; Chicano Studies Department; resources and pedagogy; Chicana history; sexism and racism; exploring Chicano identity; challenging traditional gender roles; lack of women in the Chicano Studies Department; Claremont Graduate School; teaching at CSULA; joining the faculty at CSULB; experience with Gloria Molina; sexism; conflicts with Chicana identity; school desegregation; renaming department as Chicano/Latino Studies,"Long Beach, CA",,,The Virtual Oral/Aural History Archive (VOAHA),http://hdl.handle.net/10211.3/215284,Audio,,eng,In Copyright - Educational Use Permitted,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,transcript,https://archives.calstate.edu/concern/parent/vx021h63j/file_sets/9019s482x,,,
cnieto-2,,"Nieto, Consuelo (audio interview #1 of 1) [tape one, side two]",Consuelo Nieto,"Consuelo Nieto was a professor in the College of Education at CSULB and was involved in a variety of Chicana feminist organizations and activities. She was one of the founders of the Democratic Women's Forum of Orange County and served as a California delegate to the 1977 IWY Conference in Houston, Texas. <br><br>Although she was raised in a traditional Mexican household, her parents nevertheless encouraged all their children to seek an education. She entered the convent at age sixteen and became a public school teacher in ELA after she left several years later.  During this period, in the 1960s, she became involved in the Chicano movement. This  also marked the beginning of  her very active and long-term involvement in the National Education Association, and later in the faculty union at CSULB.  While teaching at CSULB, she returned to get her doctorate at Claremont Graduate School. <br><br>Nieto remained active in NEA and Democratic party politics throughout her career, advocating both for women, in general, and Chicanos/as.  <br><br>NOTE: See also the interview with Nieto conducted at the Houston IWY conference.",Julie Bartolotto,,5/9/1995,,"Consuelo Nieto was a professor in the College of Education at CSULB and was involved in a variety of Chicana feminist organizations and activities. She was one of the founders of the Democratic Women's Forum of Orange County and served as a California delegate to the 1977 IWY Conference in Houston, Texas. Although she was raised in a traditional Mexican household, her parents nevertheless encouraged all their children to seek an education. She entered the convent at age sixteen and became a public school teacher in ELA after she left several years later. During this period, in the 1960s, she became involved in the Chicano movement. This also marked the beginning of her very active and long-term involvement in the National Education Association, and later in the faculty union at CSULB. While teaching at CSULB, she returned to get her doctorate at Claremont Graduate School. Nieto remained active in NEA and Democratic party politics throughout her career, advocating both for women, in general, and Chicanos/as. NOTE: See also the interview with Nieto conducted at the Houston IWY conference.",Chicana studies; Chicano Studies Department; resources and pedagogy; Chicana history; sexism and racism; exploring Chicano identity; challenging traditional gender roles; lack of women in the Chicano Studies Department; Claremont Graduate School; teaching at CSULA; joining the faculty at CSULB; experience with Gloria Molina; sexism; conflicts with Chicana identity; school desegregation; renaming department as Chicano/Latino Studies,"Long Beach, CA",,,The Virtual Oral/Aural History Archive (VOAHA),http://hdl.handle.net/10211.3/215285,Audio,,eng,In Copyright - Educational Use Permitted,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,transcript,https://archives.calstate.edu/concern/parent/vx021h63j/file_sets/9019s482x,,,
