speaker,words,tags,timestamp
,"While Consuelo Nieto was a teacher at California State University, Long Beach, in 1979, many students voiced an interest in a new course that reflected the changing roles of Chicana women.  Because of her academic and personal experience with Chicano culture, Nieto was selected to teach the new course.  Although she did not teach through the Chicano Studies Department, she was granted permission to teach outside her own department.",,0:00
,"Nieto's course on Chicana women used historical documents, poetry, and fictional literature to explore the roles of Chicana women in the past and present.  Chicana women were unique from the general feminist movement because they experienced a type of discrimination that fused sexism with racism.  Chicana women pursued their own agenda, and were sometimes criticized by other feminists when they focused on specifically Latino issues.",,3:05
,"Because of their European and Indian roots, Nieto and other Chicanos often heard insults, such as being called ""half-breeds.""  Some Mexicans emphasized their European ancestry over their Indian ancestry because of racism.  However, rather than being ashamed, many Mexicans began to refer to themselves as ""La Raza"" (""my people"") out of a sense of unity and pride for their mixed heritage.",,9:24
,"In her courses, Nieto explored the meaning of the term ""Chicano,"" which signifies not only people of Mexican heritage born in the United States, but also a political and cultural identity.  This identity is not individualistic and emphasizes a unity through family and community.  At times, this can put pressure on Chicana women who desire to be independent rather than follow ""traditional"" roles.",,12:45
,"Nieto taught that in order to understand what it is to be Chicano, it is necessary to understand how other people view Chicanos.  While teaching high school, a fellow teacher from Scotland described a student as ""foreign-looking,"" despite the fact that the student was native-born.  Chicanos found great difficulty in being accepted as US  citizens by other Americans.",,16:55
,"Nieto also experienced Chicano men trying to manipulate Chicanas by accusing them of ""acting like White women.""  While participating in an organization election, Nieto was criticized for not backing out of the race because she was running against a Chicano man.  She was also criticized for ""challenging"" a Latino man in front of Anglos.",,18:18
,"In her ""La Chicana"" course, Nieto assigned her students to tell the story of an older Chicana women to learn the experiences of a previous generation.  Most of her students were Chicanas, with a few males and non-Latina women.  At times, students who are the ethnic minority of a class tend to feel uncomfortable because they fear they might be criticized by their classmates.  Nieto felt that her course provided a ""window"" for students to explore themselves and their relationships with others.<br><br>End of tape.",,22:37
